Gender,Age Group,Monthly Income (Php),First Preferred Activity Upon Resort Booking,Chosen Activities,Expected Time at Swimming Pool,Expected Time at Beach,Expected Time at Spa and Wellness,Preferred Swimming Pool Activities,Top Priority Swimming Pool Activity,Preferred Beach Activities,Top Priority Beach Activity,Preferred Spa and Wellness Activities,Top Priority Spa and Wellness Activity,Preferred Check-in Days,Number of Companions,Willingness to Pay Separate Entrance Fees,Maximum Wait Time for Swimming Pool,Maximum Wait Time for Beach,Maximum Wait Time for Spa and Wellness,Preferred Time for Swimming Pool Activities,Preferred Time for Beach Activities,Preferred Time for Spa and Wellness Activities,Snack and Beverage Consumption During Activities,Preferred Snacks During Activities,Preferred Beverage During Activities,Expected Shower Room Items (For Swimming Participants)
Male,19 - 25,"< 9,100",Recreational Room,"Swimming Pool, Beach/Beach Activities, Recreational Room, Gym and Training Area, Sports Center",3+ Hours,3+ Hours,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Beach Swimming,None,None,Saturday,4-6,Yes,30 minutes,30 minutes,30 minutes,"Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM)",Evening (6PM-11PM),Yes,"Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)",Water,"Soap and shampoo, Showers, Towels, Toilets/Urinals"
Female,19 - 25,"< 9,100",Recreational Room,"Swimming Pool, Beach/Beach Activities, Recreational Room",1-2 Hours,>1 Hour,>1 Hour,None,None,None,None,None,None,"Friday, Saturday",4-6,Yes,> 10 minutes,> 10 minutes,30 minutes,Afternoon (12PM-5PM),Afternoon (12PM-5PM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffinated, Non-Caffinated, Water",None
Male,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Recreational Room, Gym and Training Area, Sports Center",>1 Hour,>1 Hour,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Fishing, Kayaking/Paddling, Jetskiing",Jetskiing,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Sauna and Steam Rooms,"Sunday, Friday, Saturday",7-9,Yes,20 minutes,20 minutes,20 minutes,Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffinated, Water","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Male,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Recreational Room, Spa and Wellness",1-2 Hours,1-2 Hours,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Fishing, Jetskiing, Beach Swimming",Fishing,Sauna and Steam Rooms,Sauna and Steam Rooms,"Sunday, Friday, Saturday",4-6,Yes,> 10 minutes,> 10 minutes,> 10 minutes,"Morning (5AM-11AM), Evening (6PM-11PM)","Morning (5AM-11AM), Evening (6PM-11PM)",Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries)","Non-Caffinated, Water","Soap and shampoo, Showers, Towels, Wipes and Toilet Paper"
Male,18 <,"< 9,100",Beach,"Swimming Pool, Beach/Beach Activities",3+ Hours,3+ Hours,1-2 Hours,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Snorkeling/Scuba Diving, Beach Swimming",Beach Swimming,Sauna and Steam Rooms,Sauna and Steam Rooms,"Sunday, Wednesday, Thursday, Friday, Saturday",4-6,Yes,> 10 minutes,> 10 minutes,20 minutes,"Morning (5AM-11AM), Afternoon (12PM-5PM)","Morning (5AM-11AM), Afternoon (12PM-5PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)",Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Beverages (bottled water, energy drinks, soda)","Alcoholic, Non-Alcoholic, Caffinated, Non-Caffinated, Water","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Female,19 - 25,"< 9,100",Beach,"Swimming Pool, Beach/Beach Activities, Recreational Room",3+ Hours,3+ Hours,1-2 Hours,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Jetskiing,Massage Therapy,Massage Therapy,Saturday,1-3,Yes,20 minutes,45 minutes,20 minutes,Afternoon (12PM-5PM),Afternoon (12PM-5PM),Evening (6PM-11PM),No,N/A,N/A,"Showers, Toilets/Urinals, Wipes and Toilet Paper"
Female,19 - 25,"63,700 to 109,200",Beach,"Swimming Pool, Beach/Beach Activities, Recreational Room",3+ Hours,3+ Hours,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Beach Swimming,"Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)","Sunday, Friday, Saturday",4-6,Yes,> 10 minutes,> 10 minutes,30 minutes,Afternoon (12PM-5PM),"Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)",Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Non-Caffinated, Water","Showers, Toilets/Urinals, Wipes and Toilet Paper"
Female,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness",>1 Hour,3+ Hours,>1 Hour,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)",Beach Swimming,Beach Swimming,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)","Sunday, Friday, Saturday",1-3,No,> 10 minutes,> 10 minutes,> 10 minutes,Evening (6PM-11PM),Afternoon (12PM-5PM),Evening (6PM-11PM),No,N/A,N/A,"Soap and shampoo, Showers, Toilets/Urinals, Wipes and Toilet Paper"
Male,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Gym and Training Area",>1 Hour,1-2 Hours,0,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Beach Swimming,None,None,"Sunday, Saturday",4-6,No,> 10 minutes,> 10 minutes,> 10 minutes,Morning (5AM-11AM),Morning (5AM-11AM),Evening (6PM-11PM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)",Non-Alcoholic,"Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Female,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Sports Center",3+ Hours,3+ Hours,0,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Beach Swimming,None,None,"Sunday, Friday, Saturday",4-6,Yes,> 10 minutes,> 10 minutes,20 minutes,"Morning (5AM-11AM), Evening (6PM-11PM)",Morning (5AM-11AM),Evening (6PM-11PM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Caffinated, Water","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Male,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Gym and Training Area, Sports Center",1-2 Hours,1-2 Hours,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Beach Swimming,None,None,"Friday, Saturday",1-3,No,> 10 minutes,> 10 minutes,> 10 minutes,Evening (6PM-11PM),Afternoon (12PM-5PM),Evening (6PM-11PM),Yes,"Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Water","Soap and shampoo, Showers, Toilets/Urinals, Wipes and Toilet Paper"
Female,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Spa and Wellness",1-2 Hours,1-2 Hours,1-2 Hours,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Snorkeling/Scuba Diving, Kayaking/Paddling, Jetskiing",Snorkeling/Scuba Diving,"Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,Friday,1-3,Yes,> 10 minutes,> 10 minutes,> 10 minutes,Evening (6PM-11PM),Afternoon (12PM-5PM),Evening (6PM-11PM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Beverages (bottled water, energy drinks, soda)","Alcoholic, Non-Alcoholic, Water","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Male,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Sports Center",3+ Hours,3+ Hours,>1 Hour,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)",None,None,None,None,Friday,4-6,No,> 10 minutes,> 10 minutes,30 minutes,Evening (6PM-11PM),Afternoon (12PM-5PM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries)",Caffinated,"Soap and shampoo, Showers, Towels, Toilets/Urinals"
Male,19 - 25,"9,100 to 18,200",Swimming Pool,"Swimming Pool, Beach/Beach Activities",1-2 Hours,1-2 Hours,0,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Snorkeling/Scuba Diving,None,None,"Sunday, Friday",4-6,Yes,> 10 minutes,> 10 minutes,30 minutes,"Afternoon (12PM-5PM), Evening (6PM-11PM)","Afternoon (12PM-5PM), Evening (6PM-11PM)",Evening (6PM-11PM),Yes,"Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)",Water,"Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Female,19 - 25,"< 9,100",Beach,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",3+ Hours,3+ Hours,3+ Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Snorkeling/Scuba Diving, Jetskiing, Beach Swimming",Beach Swimming,"Sauna and Steam Rooms, Massage Therapy",Massage Therapy,Sunday,1-3,Yes,45 minutes,45 minutes,45 minutes,Evening (6PM-11PM),Morning (5AM-11AM),Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Healthy Options (yogurt, salads, fruit cakes)",Caffinated,"Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Male,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Spa and Wellness",3+ Hours,1-2 Hours,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)",Beach Swimming,Beach Swimming,Sauna and Steam Rooms,Sauna and Steam Rooms,Saturday,4-6,Yes,30 minutes,> 10 minutes,> 10 minutes,Evening (6PM-11PM),Morning (5AM-11AM),Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Water","Showers, Toilets/Urinals"
Female,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Spa and Wellness",1-2 Hours,>1 Hour,1-2 Hours,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Snorkeling/Scuba Diving, Beach Swimming",Snorkeling/Scuba Diving,"Massage Therapy, Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)",Friday,4-6,Yes,> 10 minutes,> 10 minutes,> 10 minutes,"Morning (5AM-11AM), Afternoon (12PM-5PM)",Morning (5AM-11AM),Evening (6PM-11PM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)",Water,"Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Male,19 - 25,"18,200 to 36,400",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Sports Center",1-2 Hours,>1 Hour,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Jetskiing, Beach Swimming",None,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",None,"Thursday, Friday",4-6,No,> 10 minutes,> 10 minutes,> 10 minutes,"Morning (5AM-11AM), Afternoon (12PM-5PM)",Morning (5AM-11AM),"Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)",Yes,"Fast Food (sandwiches, pizza, fries)","Alcoholic, Non-Alcoholic, Caffinated, Non-Caffinated, Water","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Male,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",3+ Hours,1-2 Hours,1-2 Hours,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing",Snorkeling/Scuba Diving,"Sauna and Steam Rooms, Massage Therapy",Massage Therapy,Friday,1-3,No,20 minutes,> 10 minutes,> 10 minutes,Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),No,N/A,N/A,"Soap and shampoo, Showers, Towels, Toilets/Urinals"
Female,30-45,"109,200+",Spa and Wellness,"Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",0,>1 Hour,1-2 Hours,None,None,"Kayaking/Paddling, Beach Swimming",Kayaking/Paddling,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,Friday,1-3,No,> 10 minutes,45 minutes,45 minutes,"Morning (5AM-11AM), Evening (6PM-11PM)","Morning (5AM-11AM), Evening (6PM-11PM)",Afternoon (12PM-5PM),No,N/A,N/A,None
Male,18 <,"< 9,100",Gym and Training Area,Gym and Training Area,>1 Hour,>1 Hour,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Fishing, Kayaking/Paddling",Fishing,Massage Therapy,Massage Therapy,"Sunday, Monday, Thursday, Saturday",None (Solo),No,10 minutes or less,10 minutes or less,30 minutes,Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Healthy Options (yogurt, salads, fruit cakes)","Caffinated, Water","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Male,19 - 25,"109,200 +",Beach,"Swimming Pool, Beach/Beach Activities, Recreational Room",1-2 Hours,3+ Hours,>1 Hour,None,None,"Surfboarding, Jetskiing, Beach Swimming",Surfboarding,None,None,Monday,1-3,Yes,10 minutes or less,10 minutes or less,0,Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Caffinated, Water",None
Female,26 - 30,"< 9,100",Beach,Beach/Beach Activities,>1 Hour,3+ Hours,1-2 Hours,"Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Beach Swimming,"Massage Therapy, Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)",Sunday,None (Solo),No,20 minutes,1 hour or more,45 minutes,Morning (5AM-11AM),Afternoon (12PM-5PM),Evening (6PM-11PM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts)",Water,"Soap and shampoo, Showers, Towels, Wipes and Toilet Paper"
Male,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities",3+ Hours,3+ Hours,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Fishing, Beach Swimming",Fishing,None,None,"Sunday, Saturday",1-3,No,30 minutes,30 minutes,10 minutes or less,"Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)",Evening (6PM-11PM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffinated, Non-Caffinated, Water","Soap and shampoo, Towels, Toilets/Urinals"
Male,30-45,"109,200 +",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Spa and Wellness, Gym and Training Area",3+ Hours,1-2 Hours,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Snorkeling/Scuba Diving, Jetskiing, Beach Swimming",Snorkeling/Scuba Diving,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Tuesday, Wednesday, Thursday, Saturday",1-3,No,20 minutes,20 minutes,20 minutes,Evening (6PM-11PM),Afternoon (12PM-5PM),"Afternoon (12PM-5PM), Evening (6PM-11PM)",Yes,"Beverages (bottled water, energy drinks, soda)",Water,"Towels, Toilets/Urinals"
Male,18 <,"< 9,100",Sports Center,Recreational Room,>1 Hour,>1 Hour,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Fishing, Snorkeling/Scuba Diving",Fishing,Massage Therapy,Massage Therapy,"Sunday, Tuesday, Thursday, Saturday",1-3,Yes,10 minutes or less,10 minutes or less,10 minutes or less,Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)",Water,"Soap and shampoo, Showers, Towels"
Male,19 - 25,"18,200 to 36,400",Swimming Pool,"Swimming Pool, Gym and Training Area",1-2 Hours,0,0,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)",None,None,None,None,"Thursday, Friday",None (Solo),Yes,10 minutes or less,0,0,Morning (5AM-11AM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),No,N/A,N/A,"Showers, Towels, Toilets/Urinals"
Male,19 - 25,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Gym and Training Area, Sports Center",>1 Hour,>1 Hour,0,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Fishing, Kayaking/Paddling, Jetskiing, Beach Swimming",Fishing,None,None,"Sunday, Tuesday, Friday, Saturday",4-6,No,20 minutes,20 minutes,0,"Morning (5AM-11AM), Evening (6PM-11PM)",Afternoon (12PM-5PM),Morning (5AM-11AM),Yes,"Confectioneries (baked goods, chocolate bars, doughnuts)",Water,"Soap and shampoo, Showers, Toilets/Urinals"
Male,18 <,"< 9,100",Beach,Beach/Beach Activities,1-2 Hours,3+ Hours,>1 Hour,None,None,"Snorkeling/Scuba Diving, Kayaking/Paddling, Jetskiing",Snorkeling/Scuba Diving,None,None,"Sunday, Friday, Saturday",4-6,Yes,10 minutes or less,10 minutes or less,10 minutes or less,Morning (5AM-11AM),Afternoon (12PM-5PM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)",Non-Alcoholic,None
Female,18 <,"36,400 to 63,700",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",3+ Hours,3+ Hours,3+ Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Snorkeling/Scuba Diving,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)","Sunday, Friday, Saturday",10+,Yes,20 minutes,20 minutes,30 minutes,Evening (6PM-11PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Water","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Male,19 - 25,"< 9,100",Gym and Training Area,Gym and Training Area,0,0,0,None,None,None,None,None,None,"Sunday, Monday, Wednesday, Friday",None (Solo),Yes,0,0,0,Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Beverages (bottled water, energy drinks, soda)",Water,None
Male,19 - 25,"18,200 to 36,400",Sports Center,Sports Center,0,0,0,None,None,None,None,None,None,"Sunday, Tuesday, Thursday, Saturday",4-6,Yes,0,0,0,Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries)",Water,None
Male,30-45,"18,200 to 36,400",Gym and Training Area,"Recreational Room, Gym and Training Area, Sports Center",>1 Hour,>1 Hour,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Fishing, Beach Swimming",Beach Swimming,Sauna and Steam Rooms,Sauna and Steam Rooms,Saturday,1-3,Yes,20 minutes,20 minutes,20 minutes,Evening (6PM-11PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),No,N/A,N/A,"Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper"
Male,26 - 30,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Gym and Training Area, Sports Center",1-2 Hours,1-2 Hours,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Fishing, Snorkeling/Scuba Diving",Fishing,Sauna and Steam Rooms,Sauna and Steam Rooms,"Sunday, Saturday",4-6,Yes,30 minutes,30 minutes,30 minutes,Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffinated","Soap and shampoo, Showers, Towels"
Male,19 - 25,"< 9,100",Swimming Pool,Swimming Pool,3+ Hours,>1 Hour,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)",Fishing,Fishing,Sauna and Steam Rooms,Sauna and Steam Rooms,"Monday, Tuesday",1-3,No,20 minutes,10 minutes or less,20 minutes,Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Yes,"Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffinated","Soap and shampoo, Showers"
Male,26 - 30,"< 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Gym and Training Area",3+ Hours,3+ Hours,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke)","Practice Actual Swimming Techniques (e.g., laps, backstroke)",Beach Swimming,Beach Swimming,Massage Therapy,Massage Therapy,"Sunday, Friday, Saturday",1-3,Yes,45 minutes,45 minutes,45 minutes,Afternoon (12PM-5PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)",Water,"Showers, Toilets/Urinals, Wipes and Toilet Paper"
